id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
33370,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0109,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,4,22
33371,HOTEL ST. ANDREW,N/A,N/A,N/A,,N/A,N/A,1915-0110,1915-01-01T00:00:00Z,Hotel St. Andrew,DOLLARS,$,COMPLETE,1,12
33372,PARK AVENUE HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0111,1915-01-01T00:00:00Z,Park Avenue Hotel,,,COMPLETE,6,17
33373,HOTEL ASTOR,N/A,N/A,N/A,,N/A,N/A,1915-0112,1915-01-01T00:00:00Z,Hotel Astor,,,COMPLETE,3,17
33374,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0113,1915-01-01T00:00:00Z,Broadway Central Hotel,DOLLARS,$,COMPLETE,1,31
33375,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0114,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,10,12
33377,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0116,1915-01-01T00:00:00Z,Broadway Central Hotel,,,COMPLETE,1,28
33378,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0117,1915-01-01T00:00:00Z,Broadway Central Hotel,,,COMPLETE,1,33
33379,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0118,1915-01-01T00:00:00Z,Broadway Central Hotel,DOLLARS,$,COMPLETE,1,94
33380,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0119,1915-01-01T00:00:00Z,Broadway Central Hotel,DOLLARS,$,COMPLETE,2,253
33381,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0120,1915-01-01T00:00:00Z,Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,45
33382,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0121,1915-01-01T00:00:00Z,Broadway Central Hotel,DOLLARS,$,COMPLETE,1,41
33383,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0122,1915-01-01T00:00:00Z,Broadway Central Hotel,,,COMPLETE,2,32
33384,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0123,1915-01-01T00:00:00Z,Broadway Central Hotel,DOLLARS,$,COMPLETE,3,222
33385,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0124,1915-01-01T00:00:00Z,Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,26
33386,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0125,1915-01-01T00:00:00Z,Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,33
33387,HOTEL CHAMBERLIN,N/A,N/A,N/A,,N/A,N/A,1915-0126,1915-01-01T00:00:00Z,Hotel Chamberlin,,,COMPLETE,3,19
33388,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0127,1915-01-01T00:00:00Z,Restaurant name and/or location not given],DOLLARS,$,COMPLETE,2,65
33389,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0128,1915-01-01T00:00:00Z,Restaurant name and/or location not given],DOLLARS,$,COMPLETE,2,61
33390,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0129,1915-01-01T00:00:00Z,Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,31
33391,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0130,1915-01-01T00:00:00Z,Restaurant name and/or location not given],DOLLARS,$,COMPLETE,2,67
33392,HOTEL BILTMORE,N/A,N/A,N/A,,N/A,N/A,1915-0131,1915-01-01T00:00:00Z,Hotel Biltmore,,,COMPLETE,6,21
33393,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0132,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,2,18
33394,THE UNION LEAGUE CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0133,1915-01-01T00:00:00Z,The Union League Club,,,COMPLETE,1,12
33395,COMMERCIAL CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0134,1915-01-01T00:00:00Z,Commercial Club,,,COMPLETE,6,14
33396,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0135,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,4,22
33397,HOTEL ANSONIA,N/A,N/A,N/A,,N/A,N/A,1915-0136,1915-01-01T00:00:00Z,Hotel Ansonia,,,COMPLETE,5,24
33398,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0137,1915-01-01T00:00:00Z,Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,31
33399,THE BILTMORE,N/A,N/A,N/A,,N/A,N/A,1915-0138,1915-01-01T00:00:00Z,The Biltmore,,,COMPLETE,5,9
33400,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0139,1915-01-01T00:00:00Z,Restaurant name and/or location not given],,,COMPLETE,5,26
33401,THE NATIONAL ARTS CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0140,1915-01-01T00:00:00Z,The National Arts Club,,,COMPLETE,2,11
33402,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,,N/A,N/A,1915-0141,1915-01-01T00:00:00Z,Pennsylvania Railroad,,,COMPLETE,8,15
33403,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0142,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,5,21
33404,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0143,1915-01-01T00:00:00Z,Restaurant name and/or location not given],,,COMPLETE,3,20
33405,PENNSYLVANIA LINES,N/A,N/A,N/A,,N/A,N/A,1915-0144,1915-01-01T00:00:00Z,Pennsylvania Lines,DOLLARS,$,COMPLETE,1,15
33406,UNION PACIFIC OVERLAND,N/A,N/A,N/A,,N/A,N/A,1915-0145,1915-01-01T00:00:00Z,Union Pacific Overland,,,COMPLETE,2,39
33407,DENVER & RIO GRANDE RAILROAD,N/A,N/A,N/A,,N/A,N/A,1915-0146,1915-01-01T00:00:00Z,Denver & Rio Grande Railroad,DOLLARS,$,COMPLETE,4,84
33409,HOTEL COLORADO,N/A,N/A,N/A,,N/A,N/A,1915-0148,1915-01-01T00:00:00Z,Hotel Colorado,,,COMPLETE,3,43
33410,LAKE MOHONK MOUNTAIN HOUSE,N/A,N/A,N/A,,N/A,N/A,1915-0149,1915-01-01T00:00:00Z,Lake Mohonk Mountain House,,,COMPLETE,4,51
33411,THE NEW WASHINGTON HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0150,1915-01-01T00:00:00Z,The New Washington Hotel,,,COMPLETE,2,22
33412,NATIONAL PARK INN,N/A,N/A,N/A,,N/A,N/A,1915-0151,1915-01-01T00:00:00Z,National Park Inn,,,COMPLETE,1,16
33413,NEW AMERICAN HOUSE,N/A,N/A,N/A,,N/A,N/A,1915-0152,1915-01-01T00:00:00Z,New American House,,,COMPLETE,4,18
33414,HOTEL SHATTUCK,N/A,N/A,N/A,,N/A,N/A,1915-0153,1915-01-01T00:00:00Z,Hotel Shattuck,,,COMPLETE,1,36
33415,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0154,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,1,111
33416,YALE CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0155,1915-01-01T00:00:00Z,Yale Club,,,COMPLETE,1,7
33417,OLD FAITHFUL INN,N/A,N/A,N/A,,N/A,N/A,1915-0156,1915-01-01T00:00:00Z,Old Faithful Inn,,,COMPLETE,3,52
33418,CANYON HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0157,1915-01-01T00:00:00Z,Canyon Hotel,,,COMPLETE,1,15
33419,CANYON HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0158,1915-01-01T00:00:00Z,Canyon Hotel,,,COMPLETE,1,24
33420,CANYON HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0159,1915-01-01T00:00:00Z,Canyon Hotel,,,COMPLETE,1,20
33421,CANYON HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0160,1915-01-01T00:00:00Z,Canyon Hotel,,,COMPLETE,1,25
33422,HOTEL VANCOUVER,N/A,N/A,N/A,,N/A,N/A,1915-0161,1915-01-01T00:00:00Z,Hotel Vancouver,,,COMPLETE,1,9
33423,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0162,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,8,19
33424,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0163,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,7,81
33425,GRAND CENTRAL TERMINAL RESTAURANT,N/A,N/A,N/A,,N/A,N/A,1915-0164,1915-01-01T00:00:00Z,Grand Central Terminal Restaurant,DOLLARS,$,COMPLETE,1,148
33426,MENDEL,N/A,N/A,N/A,,N/A,N/A,1915-0165,1915-01-01T00:00:00Z,Mendel,DOLLARS,$,COMPLETE,1,105
33427,FRAUNCES' TAVERN,N/A,N/A,N/A,,N/A,N/A,1915-0166,1915-01-01T00:00:00Z,Fraunces' Tavern,DOLLARS,$,COMPLETE,2,272
33428,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0167,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,7,89
33429,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0168,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,3,15
33430,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0169,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,185
33431,BEACONCREST HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0170,1915-01-01T00:00:00Z,Beaconcrest Hotel,,,COMPLETE,3,37
33432,HOLLAND HALL,N/A,N/A,N/A,,N/A,N/A,1915-0171,1915-01-01T00:00:00Z,Holland Hall,,,COMPLETE,3,33
33433,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0172,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,3,20
33434,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0173,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,4,68
33435,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0174,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,3,16
33436,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0175,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,3,20
33437,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0176,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,239
33438,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0177,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,238
33439,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0178,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,108
33440,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0179,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,236
33441,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0180,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,233
33442,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0181,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,202
33443,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0182,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,232
33444,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0183,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,233
33445,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0184,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,234
33446,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0185,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,232
33447,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0186,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,150
33448,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0187,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,136
33449,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0188,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,2,71
33451,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0190,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,4,67
33452,S.S. FREDERIK VIII,N/A,N/A,N/A,,N/A,N/A,1915-0191,1915-01-01T00:00:00Z,S.S. Frederik VIII,,,COMPLETE,3,37
33453,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0192,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,2,18
33454,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0193,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,29
33455,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0194,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,153
33456,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0195,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,234
33457,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0196,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,231
33458,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0197,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,170
33459,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0198,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,107
33460,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0199,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,136
33461,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0200,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,234
33462,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0201,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,114
33463,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0202,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,90
33464,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0203,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,233
33465,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0204,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,235
33466,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0205,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,101
33467,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0206,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,234
33468,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0207,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,84
33469,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0208,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,228
33470,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0209,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,230
33471,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0210,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,145
33472,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0211,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,234
33473,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0212,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,118
33474,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0213,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,234
33475,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0214,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,221
33476,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0215,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,163
33477,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0216,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,237
33478,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0217,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,126
33479,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0218,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,237
33480,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0219,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,102
33481,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0220,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,235
33482,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0221,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,135
33483,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0222,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,86
33484,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0223,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,239
33485,U. S. S. NEW YORK,N/A,N/A,N/A,,N/A,N/A,1915-0224,1915-01-01T00:00:00Z,U.S.S. New York (?),,,COMPLETE,2,22
33486,GREAT NORTHERN RAILWAY,N/A,N/A,N/A,,N/A,N/A,1915-0225,1915-01-01T00:00:00Z,Great Northern Railway,DOLLARS,$,COMPLETE,4,82
33487,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0226,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,241
33488,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0227,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,232
33489,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0228,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,39
33490,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0229,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,234
33491,U. S. S. WYOMING,N/A,N/A,N/A,,N/A,N/A,1915-0230,1915-01-01T00:00:00Z,U. S. S. Wyoming,,,COMPLETE,2,21
33492,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0231,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,2,77
33493,S.S. UNITED STATES,N/A,N/A,N/A,,N/A,N/A,1915-0232,1915-01-01T00:00:00Z,S. S. United States,,,COMPLETE,3,22
33494,S.S. UNITED STATES,N/A,N/A,N/A,,N/A,N/A,1915-0233,1915-01-01T00:00:00Z,S. S. United States,,,COMPLETE,3,20
33495,S.S. UNITED STATES,N/A,N/A,N/A,,N/A,N/A,1915-0234,1915-01-01T00:00:00Z,S. S. United States,,,COMPLETE,3,24
33496,S.S. UNITED STATES,N/A,N/A,N/A,,N/A,N/A,1915-0235,1915-01-01T00:00:00Z,S. S. United States,,,COMPLETE,3,20
33497,S.S. UNITED STATES,N/A,N/A,N/A,,N/A,N/A,1915-0236,1915-01-01T00:00:00Z,S. S. United States,,,COMPLETE,3,16
33498,CHATEAU LAKE LOUISE,N/A,N/A,N/A,,N/A,N/A,1915-0237,1915-01-01T00:00:00Z,Chateau Lake Louise,,,COMPLETE,4,38
33499,LAKE LOUISE CHALET,N/A,N/A,N/A,,N/A,N/A,1915-0238,1915-01-01T00:00:00Z,Lake Louise Chalet,,,COMPLETE,2,35
33500,ST. FRANCIS HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0239,1915-01-01T00:00:00Z,Hotel St. Francis,,,COMPLETE,4,13
33501,SOUTH FERRY HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0240,1915-01-01T00:00:00Z,South Ferry Hotel,DOLLARS,$,COMPLETE,1,42
33502,SOUTH FERRY HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0241,1915-01-01T00:00:00Z,South Ferry Hotel,DOLLARS,$,COMPLETE,1,41
33503,S.S. UNITED STATES,N/A,N/A,N/A,,N/A,N/A,1915-0242,1915-01-01T00:00:00Z,S. S. United States,,,COMPLETE,3,11
33504,S.S. UNITED STATES,N/A,N/A,N/A,,N/A,N/A,1915-0243,1915-01-01T00:00:00Z,S. S. United States,,,COMPLETE,3,22
33505,THAYER'S HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0244,1915-01-01T00:00:00Z,Thayer's Hotel,,,COMPLETE,1,38
33506,U. S. S. VIRGINIA,N/A,N/A,N/A,,N/A,N/A,1915-0245,1915-01-01T00:00:00Z,U. S. S. Virginia,,,COMPLETE,2,19
33507,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0246,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,199
33508,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0247,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,235
33509,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0248,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,221
33510,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0249,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,236
33511,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0250,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,213
33512,CAFE SAVARIN,N/A,N/A,N/A,,N/A,N/A,1915-0251,1915-01-01T00:00:00Z,Café Savarin,DOLLARS,$,COMPLETE,3,260
33513,ROYAL BLUE LINE,N/A,N/A,N/A,,N/A,N/A,1915-0252,1915-01-01T00:00:00Z,Royal Blue Line,,,COMPLETE,2,27
33516,TERRACE GARDEN,N/A,N/A,N/A,,N/A,N/A,1915-0255,1915-01-01T00:00:00Z,Terrace Garden,,,COMPLETE,6,28
33517,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0256,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,9,51
33518,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0257,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,9,19
33519,THE HOMESTEAD,N/A,N/A,N/A,,N/A,N/A,1915-0258,1915-01-01T00:00:00Z,The Homestead,,,COMPLETE,3,104
33520,THE HOMESTEAD,N/A,N/A,N/A,,N/A,N/A,1915-0259,1915-01-01T00:00:00Z,The Homestead,,,COMPLETE,3,66
33521,THE HOMESTEAD,N/A,N/A,N/A,,N/A,N/A,1915-0260,1915-01-01T00:00:00Z,The Homestead,,,COMPLETE,3,92
33522,THE HOMESTEAD,N/A,N/A,N/A,,N/A,N/A,1915-0261,1915-01-01T00:00:00Z,The Homestead,,,COMPLETE,1,64
33523,THE HOMESTEAD,N/A,N/A,N/A,,N/A,N/A,1915-0262,1915-01-01T00:00:00Z,The Homestead,DOLLARS,$,COMPLETE,1,64
33524,NATIONAL HOME FOR DISABLED VOLUNTEER SOLDIERS,N/A,N/A,N/A,,N/A,N/A,1915-0263,1915-01-01T00:00:00Z,National Home for Disabled Volunteer Soldiers,,,COMPLETE,4,14
33525,THE HOMESTEAD,N/A,N/A,N/A,,N/A,N/A,1915-0264,1915-01-01T00:00:00Z,The Homestead,,,COMPLETE,3,54
33526,ST. DENIS HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0265,1915-01-01T00:00:00Z,Hotel St. Denis,,,COMPLETE,1,15
33527,HOTEL BOSSERT,N/A,N/A,N/A,,N/A,N/A,1915-0266,1915-01-01T00:00:00Z,Hotel Bossert,,,COMPLETE,6,17
33528,HOTEL MCALPIN,N/A,N/A,N/A,,N/A,N/A,1915-0267,1915-01-01T00:00:00Z,Hotel McAlpin,,,COMPLETE,3,23
33529,DELMONICOS,N/A,N/A,N/A,,N/A,N/A,1915-0268,1915-01-01T00:00:00Z,Delmonico's,DOLLARS,$,COMPLETE,3,32
33530,ST. ANTHONY HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0269,1915-01-01T00:00:00Z,St. Anthony Hotel,,,COMPLETE,8,18
33532,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0271,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,5,13
33534,THE NEW WILLARD,N/A,N/A,N/A,,N/A,N/A,1915-0273,1915-01-01T00:00:00Z,The New Willard,,,COMPLETE,9,24
33535,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0274,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,156
33536,HEALEY'S,N/A,N/A,N/A,,N/A,N/A,1915-0275,1915-01-01T00:00:00Z,Healey's,,,COMPLETE,4,12
33537,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0276,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,8,166
33538,THE ORIENTAL PALACE HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0277,1915-01-01T00:00:00Z,The Oriental Palace Hotel,,,COMPLETE,3,13
33539,THE MANSION HOUSE,N/A,N/A,N/A,,N/A,N/A,1915-0278,1915-01-01T00:00:00Z,The Mansion House,,,COMPLETE,4,10
33540,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0279,1915-01-01T00:00:00Z,Restaurant name and/or location not given],,,COMPLETE,4,20
33541,HOFBRAU HAUS,N/A,N/A,N/A,,N/A,N/A,1915-0280,1915-01-01T00:00:00Z,Hofbräu Haus,DOLLARS,$,COMPLETE,3,44
